Domain,LinkedIn Company URL,Twitter URL,Company Name,Last Funding Type,City,Description,Full Description,Category 1,Category 2,Category 3,Last Funded Date,CB Rank
https://apptronik.com,https://www.linkedin.com/company/apptronik-inc.,https://x.com/apptronik,Apptronik,Series A,Austin,Apptronik designs and builds human-centered robotics systems.,"Apptronik specializes in developing humanoid robots designed for various real-world applications, providing innovative robotics solutions and manufacturing services tailored to enhance efficiency and productivity in diverse environments.",Artificial Intelligence (AI),Industrial Automation,Real Time,2025-02-13,13
https://mistral.ai,https://www.linkedin.com/company/mistralai,https://www.twitter.com/aimistral,Mistral AI,Series B,Paris,Mistral AI is an AI startup that provides developers and businesses access to open and portable generative AI solutions.,"Mistral AI is a company specialising in developing advanced artificial intelligence solutions. They focus on creating state-of-the-art AI models that cater to a variety of applications, from natural language processing to complex problem-solving. Mistral AI aims to push the boundaries of AI technology by leveraging cutting-edge research and development. Their offerings are designed to help businesses and organisations harness the power of AI for improved efficiency, innovation, and decision-making.",Artificial Intelligence (AI),Generative AI,Machine Learning,2024-06-11,25
https://olakrutrim.com,https://www.linkedin.com/company/krutrim,https://twitter.com/krutrim,Krutrim,Venture,Bangalore,Krutrim provides an artificial intelligence-based platform to develop and support the operations of the mobility industry.,Krutrim SI Designs is an artificial intelligence (AI) firm that aims to focus on creating silicon chips and building a cloud infrastructure. The company is dedicated to constructing the nation's inaugural comprehensive AI computing infrastructure.,Artificial Intelligence (AI),Cloud Data Services,Cloud Infrastructure,2025-02-04,30
https://polymarket.com,https://www.linkedin.com/company/18322717,https://twitter.com/polymarket,Polymarket,Series B,New York,"Polymarket is a prediction market platform where traders predict future event outcomes, reacting to news in real time.","Polymarket is a prediction market platform that allows users to bet on the outcomes of various global events using cryptocurrency. Polymarket operates on the Ethereum blockchain, utilizing the Polygon network to enhance scalability and reduce transaction costs. Users connect to the platform through an Ethereum-compatible wallet and use the USDC stablecoin to place bets on events, ranging from political outcomes to entertainment predictions​.",Blockchain,Cryptocurrency,Predictive Analytics,2024-05-14,41
https://www.stackadapt.com,https://www.linkedin.com/company/stackadapt,https://twitter.com/stackadapt,StackAdapt,Venture,Toronto,StackAdapt is a multi-channel programmatic advertising platform that helps maximize digital marketing efforts through data-driven solutions.,"StackAdapt is a programmatic advertising platform that specializes in multi-channel solutions including native, display, video, connected TV, audio, in-game, and digital out-of-home ads.

StackAdapt's state-of-the-art platform is where some of the most progressive work in machine learning meets cutting-edge user experience. StackAdapt is designed around the three core pillars of programmatic—planning, executing, and analyzing.

StackAdapt is ranked as the number 1 DSP on G2. For six consecutive years, StackAdapt has been recognized as a high performer and the highest-ranking DSP in customer satisfaction by G2, and also placed on the Top 100 Software Products list and the Highest Satisfaction list for 2020 and 2021. StackAdapt has been named one of the 2022 Ad Age Best Places to Work and was ranked top 5 out of thousands of applicants.",Ad Retargeting,Ad Targeting,Advertising,2025-02-04,50
https://www.hippocraticai.com,https://www.linkedin.com/company/hippocratic-ai-health,https://www.twitter.com/hippocraticai,Hippocratic AI,Series B,Palo Alto,Hippocratic AI is a healthcare technology company that develops safety-focused large-language models for medical applications.,"Hippocratic AI develops safety-focused large language models with a focus on non-diagnostic, patient-facing applications. The majority of language models undergo pre-training using the common crawl of the Internet, which might contain inaccurate and deceptive information. In contrast, Hippocratic AI is significantly prioritizing the acquisition of evidence-based healthcare content through legal means, setting it apart from these language models.",Artificial Intelligence (AI),Generative AI,Health Care,2025-01-09,51
https://www.nscale.com,https://www.linkedin.com/company/nscale-cloud,https://x.com/nscale_cloud,Nscale,Series A,London,Nscale is an AI GPU cloud platform that provides scale computing to the generative AI market.,"Nscale is an AI GPU cloud platform that provides scale computing to the generative AI market. It develops AI-ready data centers, deploys GPU infrastructure, and delivers AI cloud services. Its AI private cloud platform supports the entire generative AI lifecycle, enabling developers to run and train AI models. It also provides bare metal and virtualized GPU nodes, Kubernetes-native services (NKS), AI workload scheduling empowered by SLURM, and advanced serverless and dedicated inferencing options.",Artificial Intelligence (AI),GPU,Information Technology,2024-12-09,84
http://www.exabeam.com,https://www.linkedin.com/company/exabeam,http://twitter.com/exabeam,Exabeam,Venture,Foster City,Exabeam is a global leader in intelligence and automation that powers security operations. Learn more at www.exabeam.com.,"Exabeam is a leader in intelligence and automation that powers security operations for the world’s smartest companies. As a global cybersecurity leader, Exabeam provides industry-proven, security-focused, and flexible solutions for faster, more accurate threat detection, investigation, and response (TDIR). Cutting-edge technology enhances security operations center performance, optimizing workflows and accelerating time to resolution. With consistent leadership in AI innovation and a proven track record in security information and event management (SIEM) and user behavior analytics, Exabeam empowers global security teams to combat cyberthreats, mitigate risk, and streamline operations. Learn more at www.exabeam.com.",Analytics,Artificial Intelligence (AI),Big Data,2021-12-05,86
https://www.suki.ai,https://www.linkedin.com/company/SukiHQ,https://www.twitter.com/SukiHQ,Suki,Venture,Redwood City,Suki provides AI-powered voice solutions that streamline healthcare documentation processes.,"Suki offers AI-driven voice solutions designed to enhance efficiency in healthcare documentation. Its primary product, Suki Assistant, enables physicians to complete administrative tasks significantly faster. The company also provides a voice platform for partners seeking to improve their healthcare solutions with advanced voice capabilities.",Artificial Intelligence (AI),Health Care,Machine Learning,2025-01-30,103
https://clay.com,https://www.linkedin.com/company/clay-run,https://twitter.com/clayrunhq,Clay,Series B,New York,Clay offers creative tools for growth teams to enhance customer research.,"Clay provides innovative tools that combine various data sources to support growth teams in reaching their ideal customers. The platform enables deep customer research by integrating first-party, intent, and third-party data from over 100 sources.",Artificial Intelligence (AI),Developer Tools,Information Technology,2025-01-22,122
